,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
10001,8986,3174,184,407,201,,489,,,,,,2476,283,184,,,,
10015,15342,,,,,,310,,,,,,597,135,,,,,
10021,8234,2608,3332,,,,,,,,,,531,1679,,,,,
10046,5420,303,4457,1063,2353,1228,290,,,,,,31,911,,,76,252,
10048,7356,1571,,3605,643,,832,,,,,,1597,149,631,,,,
10058,3212,8111,440,3295,,,1046,,,,,,,,280,,,,
10059,4343,180,4019,1198,2456,2444,153,,,1591,,,,,,,,,
10070,6292,3878,497,4226,168,183,302,,,,,,216,505,117,,,,
10075,5198,7157,1531,1723,115,,,,,,,,,,84,,,369,207
10078,3447,3596,4270,691,1638,611,,604,,701,,,,,328,,,498,
10087,6333,1279,4661,,,625,,,,3434,,,,,52,,,,
10106,10243,,1801,,,,438,,,3201,,,701,,,,,,
10107,8979,3376,,2506,,,,,,,,,307,,134,,16,1066,
10127,2892,,3760,110,3500,3721,,,,1864,,,,164,373,,,,
10132,5562,3662,990,5904,,,,,,,,,,,266,,,,
10144,7152,,3870,,608,1882,876,,,1996,,,,,,,,,
10145,4281,3482,1866,4057,368,,,,,,,,,,2330,,,,
10148,5194,3998,3555,1286,48,789,,,,836,310,,,,,,,368,
10150,8926,2775,703,1427,591,,,,,,1407,,,,,,555,,
10152,6321,6608,,1483,,,,,,,,,,,1972,,,,
10154,3686,3292,2184,3543,1413,,,,,,,,,,2152,,114,,
10160,5096,,3783,,824,3650,,,,3031,,,,,,,,,
10163,6949,273,3575,,,3323,610,,,1056,598,,,,,,,,
10167,6481,6482,601,1253,1220,,197,,,,,,,,,,150,,
10171,5439,6698,1059,919,434,1712,,,,,,,51,72,,,,,
10184,3482,9396,804,1461,,,,,,,312,,,,398,,,531,
10196,5020,6131,,4386,,,209,,,,252,,,,,,,386,
10202,14694,1690,,,,,,,,,,,,,,,,,
10203,7908,2674,2002,2327,379,492,,,,,,,452,101,,,49,,
10207,4067,4993,3359,2675,614,676,,,,,,,,,,,,,
10209,12779,2873,116,91,,,,,,,,,,,98,,,427,
10210,7568,6637,87,733,963,,,,,,,,,,,,,396,
10216,6012,,6647,88,676,1280,,,,488,,,456,737,,,,,
10218,5562,6031,1848,2284,101,,,,,,,,167,187,204,,,,
10225,6983,6122,,1357,866,,,,,,,,,,,,,1056,
10232,8445,3117,2927,,498,,,,,1027,,,309,61,,,,,
10233,8101,5235,1315,310,1063,,,,,,,,33,,,,,327,
10237,8928,2913,,1492,,1449,1152,,,,,,,,164,,,286,
10246,4872,7867,407,2545,425,,,,,,,,,,268,,,,
10247,4149,1645,4303,376,1780,1519,,,,,2612,,,,,,,,
10249,4068,,6032,1627,1073,3011,177,,,396,,,,,,,,,
10255,6154,3727,1404,2010,,933,1026,,,,243,,,,887,,,,
10260,4177,9501,686,806,,,,,,,,,,,643,,,571,
10268,3579,8511,1030,1663,402,473,500,,,,,,,,188,,38,,
10277,5360,6706,2177,1767,,,,,,,,,147,,,,227,,
10281,4637,6106,180,3569,928,,808,,,,,,156,,,,,,
10282,5325,2803,3278,1716,,2247,,,,714,,,,,250,,51,,
10284,5688,4198,2271,2781,,306,,,,749,,181,,,210,,,,
10294,10373,,2889,,635,653,,,,1834,,,,,,,,,
10295,5166,8793,,1175,,,154,,,,,,,,453,,643,,
10298,5324,1904,3244,3333,,443,,,,2136,,,,,,,,,
10304,4335,4431,1489,4903,136,,,,,,,,,,1090,,,,
10306,5464,3876,1417,805,405,3756,,,,,661,,,,,,,,
10307,4798,5301,1779,2355,818,375,286,,,,,,423,,249,,,,
